ID                                       0xa5d0
Delivery_person_ID                JAPRES04DEL01
Delivery_person_Age                   25.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   26.902328
Restaurant_longitude                  75.794257
Delivery_location_latitude            27.012328
Delivery_location_longitude           75.904257
Order_Date                           06-03-2022
Time_Orderd                               18:30
Time_Order_picked                         18:35
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      34.000000
Name: 41049, dtype: object
