ID                                     0xd4d0
Delivery_person_ID             AURGRES13DEL02
Delivery_person_Age                 34.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 19.880256
Restaurant_longitude                75.323503
Delivery_location_latitude          19.900256
Delivery_location_longitude         75.343503
Order_Date                         13-02-2022
Time_Orderd                              9:45
Time_Order_picked                        9:55
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    17.000000
Name: 38536, dtype: object
