ID                                    0xa42e
Delivery_person_ID             SURRES12DEL02
Delivery_person_Age                25.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                21.183434
Restaurant_longitude               72.814492
Delivery_location_latitude         21.233434
Delivery_location_longitude        72.864492
Order_Date                        09-03-2022
Time_Orderd                            20:55
Time_Order_picked                      20:60
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   34.000000
Name: 5930, dtype: object
