ID                                    0xa18b
Delivery_person_ID             MYSRES14DEL01
Delivery_person_Age                    22.00
Delivery_person_Ratings                 4.50
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.11
Delivery_location_longitude             0.11
Order_Date                        12-03-2022
Time_Orderd                            20:55
Time_Order_picked                      20:60
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       25.00
Name: 44922, dtype: object
