ID                                    0xe0f5
Delivery_person_ID             BHPRES13DEL03
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                23.230791
Restaurant_longitude               77.437020
Delivery_location_latitude         23.290791
Delivery_location_longitude        77.497020
Order_Date                        17-02-2022
Time_Orderd                            19:20
Time_Order_picked                      19:35
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   34.000000
Name: 45004, dtype: object
