ID                                        0xb028
Delivery_person_ID             RANCHIRES010DEL01
Delivery_person_Age                    26.000000
Delivery_person_Ratings                 4.800000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.424422
Delivery_location_longitude            85.402900
Order_Date                            23-03-2022
Time_Orderd                                23:30
Time_Order_picked                          23:35
Weather conditions                         Windy
Road_traffic_density                         Low
Vehicle_condition                              2
Type_of_order                               Meal
Type_of_vehicle                       motorcycle
multiple_deliveries                     0.000000
Festival                                      No
City                                       Urban
Time_taken (min)                       10.000000
Name: 41820, dtype: object
