ID                                       0xcf7b
Delivery_person_ID                DEHRES05DEL01
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   30.346994
Restaurant_longitude                  78.062543
Delivery_location_latitude            30.386994
Delivery_location_longitude           78.102543
Order_Date                           15-02-2022
Time_Orderd                               13:40
Time_Order_picked                         13:55
Weather conditions                   Sandstorms
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      26.000000
Name: 35300, dtype: object
