ID                                       0xc231
Delivery_person_ID                KOLRES02DEL01
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   22.514585
Restaurant_longitude                  88.393310
Delivery_location_latitude            22.524585
Delivery_location_longitude           88.403310
Order_Date                           17-02-2022
Time_Orderd                               11:10
Time_Order_picked                         11:15
Weather conditions                   Sandstorms
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      33.000000
Name: 42981, dtype: object
