ID                                    0xa1d4
Delivery_person_ID             JAPRES11DEL01
Delivery_person_Age                34.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                26.902940
Restaurant_longitude               75.793007
Delivery_location_latitude         26.942940
Delivery_location_longitude        75.833007
Order_Date                        17-03-2022
Time_Orderd                            15:45
Time_Order_picked                      15:55
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   26.000000
Name: 27311, dtype: object
