ID                                    0xcb44
Delivery_person_ID             GOARES12DEL01
Delivery_person_Age                21.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                15.516833
Restaurant_longitude               73.768172
Delivery_location_latitude         15.526833
Delivery_location_longitude        73.778172
Order_Date                        17-02-2022
Time_Orderd                             9:30
Time_Order_picked                       9:45
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   19.000000
Name: 41240, dtype: object
