ID                                    0xcfb7
Delivery_person_ID             KNPRES20DEL03
Delivery_person_Age                    38.00
Delivery_person_Ratings                 4.90
Restaurant_latitude                    26.47
Restaurant_longitude                   80.35
Delivery_location_latitude             26.53
Delivery_location_longitude            80.41
Order_Date                        17-02-2022
Time_Orderd                            18:60
Time_Order_picked                      19:15
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                     0.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       16.00
Name: 5558, dtype: object
