ID                                       0x1d3f
Delivery_person_ID               BANGRES19DEL02
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   12.914264
Restaurant_longitude                  77.678400
Delivery_location_latitude            12.994264
Delivery_location_longitude           77.758400
Order_Date                           02-04-2022
Time_Orderd                               18:15
Time_Order_picked                         18:30
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      19.000000
Name: 32477, dtype: object
