ID                                    0xc7da
Delivery_person_ID             DEHRES17DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                30.327968
Restaurant_longitude               78.046106
Delivery_location_latitude         30.377968
Delivery_location_longitude        78.096106
Order_Date                        15-02-2022
Time_Orderd                              NaN
Time_Order_picked                      20:20
Weather conditions                       NaN
Road_traffic_density                     NaN
Vehicle_condition                          3
Type_of_order                         Drinks
Type_of_vehicle                      bicycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   19.000000
Name: 5513, dtype: object
