ID                                    0xe0bb
Delivery_person_ID             KOLRES14DEL01
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                22.552996
Restaurant_longitude               88.352310
Delivery_location_latitude         22.592996
Delivery_location_longitude        88.392310
Order_Date                        15-02-2022
Time_Orderd                            16:35
Time_Order_picked                      16:50
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   27.000000
Name: 20180, dtype: object
