ID                                     0xd0d6
Delivery_person_ID             LUDHRES11DEL01
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 30.893081
Restaurant_longitude                75.821495
Delivery_location_latitude          30.933081
Delivery_location_longitude         75.861495
Order_Date                         15-02-2022
Time_Orderd                               NaN
Time_Order_picked                       16:10
Weather conditions                      Windy
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                       NaN
Festival                                   No
City                                    Urban
Time_taken (min)                    33.000000
Name: 27253, dtype: object
