ID                                    0x7bfd
Delivery_person_ID             SURRES15DEL01
Delivery_person_Age                24.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                21.160522
Restaurant_longitude               72.771477
Delivery_location_latitude         21.170522
Delivery_location_longitude        72.781477
Order_Date                        30-03-2022
Time_Orderd                             9:55
Time_Order_picked                      10:10
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   11.000000
Name: 21189, dtype: object
