ID                                    0x7aab
Delivery_person_ID             SURRES07DEL02
Delivery_person_Age                20.000000
Delivery_person_Ratings             2.600000
Restaurant_latitude                21.170798
Restaurant_longitude               72.790489
Delivery_location_latitude         21.250798
Delivery_location_longitude        72.870489
Order_Date                        02-04-2022
Time_Orderd                            22:60
Time_Order_picked                      23:10
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   34.000000
Name: 41521, dtype: object
