ID                                     0xa71e
Delivery_person_ID             INDORES01DEL01
Delivery_person_Age                 36.000000
Delivery_person_Ratings              4.100000
Restaurant_latitude                 22.695207
Restaurant_longitude                75.866059
Delivery_location_latitude          22.805207
Delivery_location_longitude         75.976059
Order_Date                         08-03-2022
Time_Orderd                             20:30
Time_Order_picked                       20:40
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    49.000000
Name: 17454, dtype: object
