ID                                    0xdb8f
Delivery_person_ID             KOLRES13DEL01
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                22.553227
Restaurant_longitude               88.353273
Delivery_location_latitude         22.593227
Delivery_location_longitude        88.393273
Order_Date                        11-02-2022
Time_Orderd                            13:45
Time_Order_picked                      13:55
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   32.000000
Name: 43773, dtype: object
