ID                                       0xe0cd
Delivery_person_ID                KOCRES08DEL01
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.200000
Restaurant_latitude                    9.985497
Restaurant_longitude                  76.276999
Delivery_location_latitude            10.055497
Delivery_location_longitude           76.346999
Order_Date                           14-02-2022
Time_Orderd                               17:10
Time_Order_picked                         17:25
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      38.000000
Name: 32856, dtype: object
