ID                                        0xe4f
Delivery_person_ID                SURRES16DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   21.160437
Restaurant_longitude                  72.774209
Delivery_location_latitude            21.180437
Delivery_location_longitude           72.794209
Order_Date                           03-04-2022
Time_Orderd                                 NaN
Time_Order_picked                          9:50
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      11.000000
Name: 37259, dtype: object
