ID                                        0x44a
Delivery_person_ID                JAPRES01DEL03
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   26.905190
Restaurant_longitude                  75.810753
Delivery_location_latitude            26.995190
Delivery_location_longitude           75.900753
Order_Date                           25-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         18:05
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      31.000000
Name: 3293, dtype: object
