ID                                       0xcc72
Delivery_person_ID                KOLRES12DEL02
Delivery_person_Age                   30.000000
Delivery_person_Ratings                3.500000
Restaurant_latitude                   22.551084
Restaurant_longitude                  88.354127
Delivery_location_latitude            22.631084
Delivery_location_longitude           88.434127
Order_Date                           14-02-2022
Time_Orderd                               21:60
Time_Order_picked                         22:05
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      39.000000
Name: 34357, dtype: object
