ID                                       0xd0ba
Delivery_person_ID                KNPRES09DEL03
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   26.473698
Restaurant_longitude                  80.352677
Delivery_location_latitude            26.503698
Delivery_location_longitude           80.382677
Order_Date                           17-02-2022
Time_Orderd                               19:20
Time_Order_picked                         19:25
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      10.000000
Name: 6294, dtype: object
