ID                                    0xcf40
Delivery_person_ID             KNPRES19DEL02
Delivery_person_Age                28.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                26.490950
Restaurant_longitude               80.318656
Delivery_location_latitude         26.620950
Delivery_location_longitude        80.448656
Order_Date                        16-02-2022
Time_Orderd                            20:15
Time_Order_picked                      20:20
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   38.000000
Name: 34305, dtype: object
