ID                                     0x5eaa
Delivery_person_ID             INDORES16DEL01
Delivery_person_Age                 23.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                 22.744648
Restaurant_longitude                75.894377
Delivery_location_latitude          22.784648
Delivery_location_longitude         75.934377
Order_Date                         13-03-2022
Time_Orderd                             12:20
Time_Order_picked                       12:25
Weather conditions                     Stormy
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    15.000000
Name: 21114, dtype: object
