ID                                       0x39ba
Delivery_person_ID             RANCHIRES18DEL03
Delivery_person_Age                   35.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   23.351489
Restaurant_longitude                  85.324253
Delivery_location_latitude            23.441489
Delivery_location_longitude           85.414253
Order_Date                           06-04-2022
Time_Orderd                               23:35
Time_Order_picked                         23:50
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             0
Type_of_order                            Buffet
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      36.000000
Name: 28274, dtype: object
