ID                                       0xc78a
Delivery_person_ID                ALHRES19DEL01
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   25.457116
Restaurant_longitude                  81.859682
Delivery_location_latitude            25.567116
Delivery_location_longitude           81.969682
Order_Date                           16-02-2022
Time_Orderd                               19:35
Time_Order_picked                         19:45
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      40.000000
Name: 37782, dtype: object
