ID                                     0x91eb
Delivery_person_ID             CHENRES15DEL01
Delivery_person_Age                 39.000000
Delivery_person_Ratings              4.300000
Restaurant_latitude                 13.026286
Restaurant_longitude                80.275235
Delivery_location_latitude          13.036286
Delivery_location_longitude         80.285235
Order_Date                         28-03-2022
Time_Orderd                             11:15
Time_Order_picked                       11:25
Weather conditions                 Sandstorms
Road_traffic_density                     High
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    34.000000
Name: 31317, dtype: object
