ID                                    0x1df0
Delivery_person_ID             VADRES14DEL03
Delivery_person_Age                29.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                22.311603
Restaurant_longitude               73.165012
Delivery_location_latitude         22.341603
Delivery_location_longitude        73.195012
Order_Date                        03-03-2022
Time_Orderd                            23:50
Time_Order_picked                      23:55
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   26.000000
Name: 9522, dtype: object
