ID                                      0xc3ea
Delivery_person_ID             AURGRES010DEL03
Delivery_person_Age                  36.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  19.875337
Restaurant_longitude                 75.316722
Delivery_location_latitude           19.935337
Delivery_location_longitude          75.376722
Order_Date                          15-02-2022
Time_Orderd                              20:20
Time_Order_picked                        20:35
Weather conditions                         Fog
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     27.000000
Name: 40120, dtype: object
