ID                                    0xdacc
Delivery_person_ID             KNPRES15DEL02
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                26.482419
Restaurant_longitude               80.320939
Delivery_location_latitude         26.612419
Delivery_location_longitude        80.450939
Order_Date                        16-02-2022
Time_Orderd                            17:25
Time_Order_picked                      17:35
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   35.000000
Name: 23064, dtype: object
