ID                                    0xb4de
Delivery_person_ID             MUMRES18DEL01
Delivery_person_Age                29.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                19.109300
Restaurant_longitude               72.825451
Delivery_location_latitude         19.149300
Delivery_location_longitude        72.865451
Order_Date                        13-03-2022
Time_Orderd                            12:55
Time_Order_picked                      12:60
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   24.000000
Name: 3364, dtype: object
