ID                                        0xb7b
Delivery_person_ID               CHENRES07DEL03
Delivery_person_Age                   25.000000
Delivery_person_Ratings                4.000000
Restaurant_latitude                   13.081878
Restaurant_longitude                  80.248519
Delivery_location_latitude            13.171878
Delivery_location_longitude           80.338519
Order_Date                           25-03-2022
Time_Orderd                               19:30
Time_Order_picked                         19:35
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      38.000000
Name: 17522, dtype: object
