ID                                    0xc7ee
Delivery_person_ID             GOARES14DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                15.157944
Restaurant_longitude               73.950889
Delivery_location_latitude         15.207944
Delivery_location_longitude        74.000889
Order_Date                        13-02-2022
Time_Orderd                              NaN
Time_Order_picked                      24:10
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                     NaN
Time_taken (min)                   19.000000
Name: 23157, dtype: object
