ID                                      0x31af
Delivery_person_ID             COIMBRES17DEL01
Delivery_person_Age                  36.000000
Delivery_person_Ratings               4.200000
Restaurant_latitude                  11.026117
Restaurant_longitude                 76.944652
Delivery_location_latitude           11.066117
Delivery_location_longitude          76.984652
Order_Date                          24-03-2022
Time_Orderd                              16:55
Time_Order_picked                        16:60
Weather conditions                      Stormy
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     34.000000
Name: 27664, dtype: object
