ID                                       0x6f6a
Delivery_person_ID               PUNERES19DEL01
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   18.563934
Restaurant_longitude                  73.915367
Delivery_location_latitude            18.573935
Delivery_location_longitude           73.925367
Order_Date                           01-04-2022
Time_Orderd                                8:25
Time_Order_picked                          8:35
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      15.000000
Name: 3010, dtype: object
