ID                                       0x4d3a
Delivery_person_ID                MYSRES02DEL02
Delivery_person_Age                   35.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   12.304569
Restaurant_longitude                  76.643622
Delivery_location_latitude            12.434569
Delivery_location_longitude           76.773622
Order_Date                           16-03-2022
Time_Orderd                               20:35
Time_Order_picked                         20:40
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    2.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      47.000000
Name: 19134, dtype: object
