ID                                     0xe1f1
Delivery_person_ID             AURGRES13DEL02
Delivery_person_Age                 28.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 19.880256
Restaurant_longitude                75.323503
Delivery_location_latitude          20.010256
Delivery_location_longitude         75.453503
Order_Date                         12-02-2022
Time_Orderd                             23:35
Time_Order_picked                       23:40
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    19.000000
Name: 27145, dtype: object
