ID                                    0xad5d
Delivery_person_ID             SURRES04DEL01
Delivery_person_Age                36.000000
Delivery_person_Ratings             3.200000
Restaurant_latitude                21.173493
Restaurant_longitude               72.801953
Delivery_location_latitude         21.283493
Delivery_location_longitude        72.911953
Order_Date                        12-03-2022
Time_Orderd                            22:60
Time_Order_picked                      23:05
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   32.000000
Name: 17404, dtype: object
