ID                                       0xcea7
Delivery_person_ID                AGRRES17DEL02
Delivery_person_Age                   25.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   27.157772
Restaurant_longitude                  78.047250
Delivery_location_latitude            27.207772
Delivery_location_longitude           78.097250
Order_Date                           11-02-2022
Time_Orderd                               17:15
Time_Order_picked                         17:25
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      12.000000
Name: 18805, dtype: object
