ID                                       0xc365
Delivery_person_ID                BHPRES03DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   23.214294
Restaurant_longitude                  77.435361
Delivery_location_latitude            23.224294
Delivery_location_longitude           77.445361
Order_Date                           15-02-2022
Time_Orderd                                 NaN
Time_Order_picked                         11:55
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      19.000000
Name: 12838, dtype: object
