ID                                      0x352e
Delivery_person_ID             BANGRES010DEL01
Delivery_person_Age                  22.000000
Delivery_person_Ratings               3.700000
Restaurant_latitude                  12.933298
Restaurant_longitude                 77.614293
Delivery_location_latitude           12.973298
Delivery_location_longitude          77.654293
Order_Date                          07-03-2022
Time_Orderd                              14:60
Time_Order_picked                        15:05
Weather conditions                       Sunny
Road_traffic_density                      High
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     43.000000
Name: 23063, dtype: object
