ID                                        0x4d7
Delivery_person_ID             RANCHIRES09DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                  -23.351058
Restaurant_longitude                 -85.325731
Delivery_location_latitude            23.401058
Delivery_location_longitude           85.375731
Order_Date                           05-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         20:50
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      21.000000
Name: 8073, dtype: object
