ID                                       0x1dc2
Delivery_person_ID             RANCHIRES12DEL01
Delivery_person_Age                       20.00
Delivery_person_Ratings                    4.30
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.11
Delivery_location_longitude                0.11
Order_Date                           23-03-2022
Time_Orderd                               18:15
Time_Order_picked                         18:25
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                         scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          31.00
Name: 33722, dtype: object
