ID                                      0x85e
Delivery_person_ID             BANGRES18DEL01
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 12.913041
Restaurant_longitude                77.683237
Delivery_location_latitude          13.023041
Delivery_location_longitude         77.793237
Order_Date                         10-03-2022
Time_Orderd                               NaN
Time_Order_picked                       24:05
Weather conditions                        NaN
Road_traffic_density                      NaN
Vehicle_condition                           3
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    29.000000
Name: 10969, dtype: object
