ID                                     0x45cb
Delivery_person_ID             SURRES010DEL01
Delivery_person_Age                 27.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 21.171060
Restaurant_longitude                72.789292
Delivery_location_latitude          21.241060
Delivery_location_longitude         72.859292
Order_Date                         06-03-2022
Time_Orderd                             17:55
Time_Order_picked                       18:10
Weather conditions                     Stormy
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    38.000000
Name: 16881, dtype: object
