ID                                    0xd8da
Delivery_person_ID             AGRRES20DEL01
Delivery_person_Age                30.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                27.158822
Restaurant_longitude               78.045359
Delivery_location_latitude         27.198822
Delivery_location_longitude        78.085359
Order_Date                        17-02-2022
Time_Orderd                            14:35
Time_Order_picked                      14:40
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   31.000000
Name: 39219, dtype: object
