ID                                       0xbc54
Delivery_person_ID             RANCHIRES19DEL01
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.400000
Restaurant_latitude                   23.333017
Restaurant_longitude                  85.317200
Delivery_location_latitude            23.373017
Delivery_location_longitude           85.357200
Order_Date                           09-03-2022
Time_Orderd                               14:60
Time_Order_picked                         15:15
Weather conditions                       Stormy
Road_traffic_density                       High
Vehicle_condition                             0
Type_of_order                            Buffet
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      34.000000
Name: 17618, dtype: object
