ID                                      0x6ba
Delivery_person_ID             BANGRES07DEL01
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 12.978453
Restaurant_longitude                77.643685
Delivery_location_latitude          13.018453
Delivery_location_longitude         77.683685
Order_Date                         03-04-2022
Time_Orderd                               NaN
Time_Order_picked                       13:55
Weather conditions                      Windy
Road_traffic_density                     High
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    27.000000
Name: 31314, dtype: object
