ID                                       0xaf62
Delivery_person_ID             RANCHIRES02DEL01
Delivery_person_Age                       32.00
Delivery_person_Ratings                    4.70
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.11
Delivery_location_longitude                0.11
Order_Date                           02-04-2022
Time_Orderd                               22:60
Time_Order_picked                         23:05
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                        0.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          27.00
Name: 7462, dtype: object
