ID                                    0x27da
Delivery_person_ID             MYSRES09DEL01
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                12.323194
Restaurant_longitude               76.630583
Delivery_location_latitude         12.393194
Delivery_location_longitude        76.700583
Order_Date                        29-03-2022
Time_Orderd                            20:15
Time_Order_picked                      20:30
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   49.000000
Name: 4269, dtype: object
