ID                                    0xa5e7
Delivery_person_ID             MUMRES16DEL01
Delivery_person_Age                21.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                19.120083
Restaurant_longitude               72.907385
Delivery_location_latitude         19.130083
Delivery_location_longitude        72.917385
Order_Date                        01-04-2022
Time_Orderd                             8:45
Time_Order_picked                       8:55
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   26.000000
Name: 28225, dtype: object
