ID                                       0xa573
Delivery_person_ID                JAPRES04DEL02
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   26.902328
Restaurant_longitude                  75.794257
Delivery_location_latitude            27.032328
Delivery_location_longitude           75.924257
Order_Date                           02-03-2022
Time_Orderd                               23:10
Time_Order_picked                         23:15
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      15.000000
Name: 21195, dtype: object
