ID                                       0x2ed1
Delivery_person_ID                VADRES06DEL03
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   22.312790
Restaurant_longitude                  73.170283
Delivery_location_latitude            22.402790
Delivery_location_longitude           73.260283
Order_Date                           25-03-2022
Time_Orderd                               23:30
Time_Order_picked                         23:40
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      29.000000
Name: 31946, dtype: object
