ID                                    0xe0b5
Delivery_person_ID             KNPRES18DEL02
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                26.474133
Restaurant_longitude               80.348100
Delivery_location_latitude         26.494133
Delivery_location_longitude        80.368100
Order_Date                        13-02-2022
Time_Orderd                             9:10
Time_Order_picked                       9:25
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   17.000000
Name: 39150, dtype: object
