ID                                    0xc0d5
Delivery_person_ID             DEHRES17DEL02
Delivery_person_Age                34.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude               -30.327968
Restaurant_longitude               78.046106
Delivery_location_latitude         30.347968
Delivery_location_longitude        78.066106
Order_Date                        15-02-2022
Time_Orderd                            11:60
Time_Order_picked                      12:15
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   26.000000
Name: 28236, dtype: object
