ID                                       0xc13d
Delivery_person_ID                KNPRES13DEL01
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   26.481547
Restaurant_longitude                  80.299775
Delivery_location_latitude            26.491547
Delivery_location_longitude           80.309775
Order_Date                           13-02-2022
Time_Orderd                                9:10
Time_Order_picked                          9:25
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      26.000000
Name: 26001, dtype: object
