ID                                     0xddb3
Delivery_person_ID             AURGRES16DEL01
Delivery_person_Age                     32.00
Delivery_person_Ratings                  4.80
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.04
Delivery_location_longitude              0.04
Order_Date                         15-02-2022
Time_Orderd                             13:15
Time_Order_picked                       13:20
Weather conditions                 Sandstorms
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                      1.00
Festival                                   No
City                                      NaN
Time_taken (min)                        26.00
Name: 11238, dtype: object
