ID                                    0xc0f3
Delivery_person_ID             BHPRES06DEL03
Delivery_person_Age                32.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude               -23.232357
Restaurant_longitude               77.429989
Delivery_location_latitude         23.292357
Delivery_location_longitude        77.489989
Order_Date                        15-02-2022
Time_Orderd                            23:25
Time_Order_picked                      23:30
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   21.000000
Name: 39796, dtype: object
