ID                                    0xd55f
Delivery_person_ID             BHPRES03DEL01
Delivery_person_Age                38.000000
Delivery_person_Ratings             3.700000
Restaurant_latitude                23.214294
Restaurant_longitude               77.435361
Delivery_location_latitude         23.324294
Delivery_location_longitude        77.545361
Order_Date                        16-02-2022
Time_Orderd                            20:50
Time_Order_picked                      21:05
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   34.000000
Name: 2935, dtype: object
