ID                                    0x7fc7
Delivery_person_ID             VADRES06DEL03
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                22.312790
Restaurant_longitude               73.170283
Delivery_location_latitude         22.402790
Delivery_location_longitude        73.260283
Order_Date                        02-04-2022
Time_Orderd                            22:10
Time_Order_picked                      22:20
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   18.000000
Name: 35948, dtype: object
