ID                                     0xaa86
Delivery_person_ID             PUNERES11DEL02
Delivery_person_Age                 39.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 18.533811
Restaurant_longitude                73.899315
Delivery_location_latitude          18.553811
Delivery_location_longitude         73.919315
Order_Date                         01-03-2022
Time_Orderd                              8:55
Time_Order_picked                        9:10
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    10.000000
Name: 18659, dtype: object
