ID                                       0xd04b
Delivery_person_ID                BHPRES20DEL01
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.400000
Restaurant_latitude                   23.235123
Restaurant_longitude                  77.398886
Delivery_location_latitude            23.275123
Delivery_location_longitude           77.438886
Order_Date                           15-02-2022
Time_Orderd                               13:20
Time_Order_picked                         13:35
Weather conditions                       Stormy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      31.000000
Name: 24590, dtype: object
